City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,harper,4.375,-7.7169,27.64,81,48,4.16,LR,1681842769
301,happy valley-goose bay,53.3168,-60.3315,3.17,65,75,6.69,CA,1681842770
302,dawei,14.0833,98.2,25.9,86,100,0.45,MM,1681842770
303,iringa,-7.7667,35.7,15.76,86,100,3.18,TZ,1681842721
304,rio grande,-32.035,-52.0986,25.06,37,92,6.12,BR,1681842770
305,flin flon,54.7682,-101.865,-1.09,40,100,4.12,CA,1681842748
306,virginia,37.5481,-77.4467,24.58,19,20,10.29,US,1681842639
307,susuman,62.7833,148.1667,-21.02,100,90,1.14,RU,1681842770
308,shenjiamen,29.9576,122.298,17.2,100,100,2.9,CN,1681842770
309,horta,38.5333,-28.6333,14.8,72,75,5.14,PT,1681842770
310,nagireddipalli,14.2667,79.1,26.83,49,6,0.86,IN,1681842770
311,ust-nera,64.5667,143.2,-15.64,99,93,1.14,RU,1681842770
312,pacific grove,36.6177,-121.9166,15.57,59,0,2.57,US,1681842771
313,la ronge,55.1001,-105.2842,2.14,44,100,6.69,CA,1681842771
314,berdigestyakh,62.0989,126.6992,-10.64,98,97,1.28,RU,1681842771
315,brigantine,39.4101,-74.3646,20.64,27,0,8.23,US,1681842771
316,nikolayevsk-on-amure,53.1406,140.73,-1.58,93,75,0.98,RU,1681842771
317,priargunsk,50.3691,119.1012,1.73,36,4,1.11,RU,1681842771
318,pithiviers,48.1667,2.25,13.23,88,9,4.05,FR,1681842771
319,cidade velha,14.9167,-23.6167,25.26,61,75,11.32,CV,1681842771
320,kristiansund,63.1115,7.732,11.36,46,0,2.06,NO,1681842771
321,ylitornio,66.3089,23.6773,0.73,96,100,2.04,FI,1681842771
322,placido de castro,-10.3353,-67.1856,29.55,66,100,1.89,BR,1681842772
323,san onofre,9.7359,-75.5263,29.12,68,98,4.65,CO,1681842772
324,mazamari,-11.3258,-74.5308,32.37,45,84,0.81,PE,1681842772
325,funafuti,-8.5243,179.1942,29.0,84,75,1.03,TV,1681842772
326,kampong cham,11.9934,105.4635,27.84,75,12,4.29,KH,1681842772
327,uacu cungo,-11.3634,15.1208,17.9,93,100,1.08,AO,1681842772
328,phillip island,-38.4835,145.231,15.82,92,100,7.44,AU,1681842772
329,okhotsk,59.3833,143.3,-8.05,80,3,5.69,RU,1681842772
330,olyokminsk,60.3736,120.4264,-12.02,96,41,0.59,RU,1681842772
331,embi,48.8264,58.1442,6.46,60,12,2.59,KZ,1681842773
332,vadso,70.0744,29.7487,4.49,70,20,3.6,NO,1681842773
333,lazaro cardenas,17.9583,-102.2,29.64,56,6,5.69,MX,1681842773
334,santyoku,37.4406,129.1708,12.76,72,100,2.11,KR,1681842773
335,zavitinsk,50.1167,129.45,-0.13,79,11,4.13,RU,1681842773
336,monteagudo,-19.8167,-63.9833,16.99,94,100,0.67,BO,1681842773
337,buka,40.8108,69.1986,7.93,52,0,0.48,UZ,1681842773
338,vinh,18.6667,105.6667,26.61,72,0,1.24,VN,1681842480
339,nova sintra,14.8667,-24.7167,20.14,80,96,10.63,CV,1681842773
340,freetown,8.484,-13.2299,27.84,78,75,4.63,SL,1681842773
341,kerikeri,-35.2268,173.9474,19.95,96,77,0.45,NZ,1681842773
342,koksan,38.7819,126.6664,9.87,74,70,2.33,KP,1681842773
343,trenggalek,-8.05,111.7167,23.92,95,93,0.43,ID,1681842774
344,abu dhabi,24.4667,54.3667,27.19,51,0,1.54,AE,1681842481
345,koundara,12.4833,-13.3,37.23,20,22,1.74,GN,1681842774
346,merizo village,13.2658,144.6691,27.31,90,67,9.42,GU,1681842774
347,san juan de miraflores,-12.1629,-76.9635,26.29,75,41,4.09,PE,1681842774
348,chihuahua,28.5,-106.0,23.46,7,53,5.05,MX,1681842774
349,farasan,16.7022,42.1183,29.13,77,3,2.88,SA,1681842774
350,pocahontas,36.2615,-90.9712,26.03,34,0,8.23,US,1681842774
351,mexia,31.6799,-96.4822,21.83,68,100,5.66,US,1681842775
352,juan de ayolas,-27.4,-56.9,25.82,31,0,4.54,PY,1681842775
353,nizhneangarsk,55.7833,109.55,-5.78,84,100,1.86,RU,1681842775
354,mahanoro,-19.9,48.8,23.37,91,62,3.64,MG,1681842775
355,mahina,-17.5065,-149.489,26.87,74,75,0.51,PF,1681842655
356,lanzhou,36.0564,103.7922,19.68,37,0,2.39,CN,1681842775
357,goure,13.9835,10.2704,33.5,17,8,3.24,NE,1681842775
358,lagoa,39.05,-27.9833,14.11,64,99,5.97,PT,1681842775
359,shixing,24.9482,114.0657,23.08,98,100,1.33,CN,1681842776
360,pariaman,-0.619,100.12,26.03,87,100,1.33,ID,1681842777
361,thompson,55.7435,-97.8558,-2.91,33,40,6.17,CA,1681842777
